Date,Store ID,Product ID,Forecast Type,Actual Demand,Predicted Demand
2024-01-31 00:00:00,S001,P0001,Future,,98.23046613080031
2024-02-01 00:00:00,S001,P0001,Future,,97.95576945852761
2024-02-02 00:00:00,S001,P0001,Future,,98.01615868323162
2024-02-03 00:00:00,S001,P0001,Future,,97.89220343978583
2024-02-04 00:00:00,S001,P0001,Future,,98.25228914291517
2024-02-05 00:00:00,S001,P0001,Future,,98.02295148091478
2024-02-06 00:00:00,S001,P0001,Future,,98.84497043079189
2024-01-01,S001,P0001,Validation,62.0,69.10767574452647
2024-01-02,S001,P0001,Validation,31.0,31.455961915790045
2024-01-03,S001,P0001,Validation,52.0,57.71927281318008
2024-01-04,S001,P0001,Validation,47.0,57.621482119054
2024-01-05,S001,P0001,Validation,71.0,60.94934651549863
2024-01-06,S001,P0001,Validation,52.0,41.29888942544648
2024-01-07,S001,P0001,Validation,71.0,66.12645842655257
2024-01-08,S001,P0001,Validation,28.0,39.30290357136813
2024-01-09,S001,P0001,Validation,75.0,79.7281612952792
2024-01-10,S001,P0001,Validation,98.0,89.65208116934191
2024-01-11,S001,P0001,Validation,141.0,139.17934700322934
2024-01-12,S001,P0001,Validation,83.0,82.15286568375782
2024-01-13,S001,P0001,Validation,111.0,123.62470382304858
2024-01-14,S001,P0001,Validation,74.0,83.06199978292912
2024-01-15,S001,P0001,Validation,114.0,120.48476894864028
2024-01-16,S001,P0001,Validation,31.0,43.13058463402526
2024-01-17,S001,P0001,Validation,88.0,87.73365856592679
2024-01-18,S001,P0001,Validation,86.0,79.0253981230809
2024-01-19,S001,P0001,Validation,90.0,91.06257044849004
2024-01-20,S001,P0001,Validation,141.0,147.8751256119208
2024-01-21,S001,P0001,Validation,109.0,119.23555079107712
2024-01-22,S001,P0001,Validation,218.0,204.08792661912716
2024-01-23,S001,P0001,Validation,68.0,75.05727179046055
2024-01-24,S001,P0001,Validation,98.0,115.5950767084165
2024-01-25,S001,P0001,Validation,137.0,129.6126970156008
2024-01-26,S001,P0001,Validation,72.0,81.14772263282771
2024-01-27,S001,P0001,Validation,99.0,98.00795168543756
2024-01-28,S001,P0001,Validation,139.0,121.4474817255866
2024-01-29,S001,P0001,Validation,112.0,111.24703853782944
2024-01-30,S001,P0001,Validation,111.0,97.7321843501579
2024-01-31 00:00:00,S001,P0002,Future,,113.89445553752898
2024-02-01 00:00:00,S001,P0002,Future,,114.53401210562639
2024-02-02 00:00:00,S001,P0002,Future,,114.92343877276177
2024-02-03 00:00:00,S001,P0002,Future,,114.72878395737857
2024-02-04 00:00:00,S001,P0002,Future,,114.4658162730898
2024-02-05 00:00:00,S001,P0002,Future,,114.7979731337927
2024-02-06 00:00:00,S001,P0002,Future,,114.19879395321267
2024-01-01,S001,P0002,Validation,105.0,115.49057897044295
2024-01-02,S001,P0002,Validation,172.0,164.19450816092782
2024-01-03,S001,P0002,Validation,156.0,150.7418166513504
2024-01-04,S001,P0002,Validation,115.0,116.55264098030428
2024-01-05,S001,P0002,Validation,62.0,61.70943760757453
2024-01-06,S001,P0002,Validation,157.0,154.81043457733855
2024-01-07,S001,P0002,Validation,132.0,127.87401102932908
2024-01-08,S001,P0002,Validation,172.0,163.58223473469877
2024-01-09,S001,P0002,Validation,73.0,80.66288908608585
2024-01-10,S001,P0002,Validation,147.0,147.27451591131808
2024-01-11,S001,P0002,Validation,111.0,103.68603010294729
2024-01-12,S001,P0002,Validation,131.0,124.73547145974752
2024-01-13,S001,P0002,Validation,103.0,103.06335742210273
2024-01-14,S001,P0002,Validation,119.0,117.18078649520032
2024-01-15,S001,P0002,Validation,123.0,120.6242364441572
2024-01-16,S001,P0002,Validation,153.0,166.34232602629817
2024-01-17,S001,P0002,Validation,115.0,108.6138867512265
2024-01-18,S001,P0002,Validation,134.0,139.24066906710092
2024-01-19,S001,P0002,Validation,39.0,53.46878360534882
2024-01-20,S001,P0002,Validation,120.0,141.58984272170375
2024-01-21,S001,P0002,Validation,121.0,123.47431907978968
2024-01-22,S001,P0002,Validation,147.0,147.5083811734135
2024-01-23,S001,P0002,Validation,71.0,88.14012173385882
2024-01-24,S001,P0002,Validation,150.0,153.41175711407402
2024-01-25,S001,P0002,Validation,91.0,110.42886419690402
2024-01-26,S001,P0002,Validation,144.0,152.80286511241545
2024-01-27,S001,P0002,Validation,125.0,122.93755402791918
2024-01-28,S001,P0002,Validation,114.0,109.6328475682144
